"Name","Team","Pos","Inn","rSZ","rCERA","rSB","rGDP","rARM","rGFP","rPM","rTS","DRS","ARM","DPR","RngR","ErrR","UZR","UZR/150","FRM","OAA","RAA","Def","playerid"
"Jose Trevino","NYY","C","478.2","7","3","2","","","1","","","15","","","","","","","11.9","","","18.0","16725"
"Jonathan Schoop","DET","2B","792.0","0","","","2","","2","2","","6","","0.9","-0.6","0.7","1.0","1.8","","20","15","16.6","11265"
"Nolan Arenado","STL","3B","705.2","0","","","0","","1","13","","14","","0.8","4.7","2.4","7.9","12.0","","14","10","12.9","9777"
"Sean Murphy","OAK","C","638.1","5","-3","1","","","-1","","","1","","","","","","","5.8","","","12.3","19352"
"Myles Straw","CLE","CF","776.1","0","","","","5","2","1","","8","7.3","","0.7","0.8","8.7","12.5","","7","6","12.0","17620"
"Dansby Swanson","ATL","SS","876.1","0","","","-2","","2","3","","3","","-0.4","-0.6","-0.1","-1.2","-2.6","","10","8","11.1","18314"
"Nico Hoerner","CHC","SS","676.0","0","","","1","","1","9","","11","","-0.5","-0.1","1.0","0.4","0.8","","11","8","11.0","21479"
"J.T. Realmuto","PHI","C","675.1","-1","-1","6","","","2","","","4","","","","","","","-1.1","","","10.6","11739"
"Ke'Bryan Hayes","PIT","3B","750.2","0","","","2","","1","11","","15","","0.4","3.6","-0.6","3.4","5.3","","11","8","10.5","18577"
"Tommy Edman","STL","SS","379.0","0","","","1","","1","3","","5","","0.5","0.4","3.0","3.9","9.4","","10","8","9.9","19470"
"Willy Adames","MIL","SS","626.1","0","","","-1","","0","4","","3","","1.0","-0.2","0.3","1.1","1.2","","8","6","9.8","15986"
"Travis d'Arnaud","ATL","C","559.1","4","-4","0","","","1","","","0","","","","","","","5.0","","","9.8","7739"
"Jorge Mateo","BAL","SS","729.2","0","","","1","","2","8","","11","","0.5","0.9","0.2","1.5","2.0","","8","6","9.7","17273"
"Jeremy Pena","HOU","SS","651.1","0","","","2","","-1","8","","9","","-0.2","1.1","-3.8","-2.9","-7.2","","9","6","9.2","21636"
"Cal Raleigh","SEA","C","531.0","4","3","0","","","1","","","7","","","","","","","4.3","","","8.8","21534"
"Francisco Lindor","NYM","SS","817.2","0","","","2","","0","-3","","-1","","0.5","-0.8","-0.5","-0.8","-3.2","","6","4","8.7","12916"
"Alejandro Kirk","TOR","C","414.0","2","2","1","","","2","","","6","","","","","","","3.9","","","8.4","22581"
"Tomas Nido","NYM","C","473.1","4","-5","1","","","3","","","3","","","","","","","3.1","","","8.2","13755"
"Byron Buxton","MIN","CF","376.2","0","","","","0","0","5","","5","2.5","","3.3","0.3","6.1","23.4","","7","6","7.8","14161"
"Andrew Velazquez","LAA","SS","630.0","0","","","0","","1","9","","10","","0.5","0.7","0.2","1.4","3.2","","6","4","7.7","14196"
"Max Stassi","LAA","C","500.1","3","0","0","","","-1","","","1","","","","","","","3.2","","","7.5","10059"
"Kyle Higashioka","NYY","C","385.0","1","-1","2","","","-1","","","1","","","","","","","2.0","","","7.4","5517"
"Reese McGuire","CHW","C","390.0","1","5","2","","","-1","","","7","","","","","","","2.0","","","7.3","15674"
